,0,1,2,3
0,Bates/Snack28/jim.xml,28,[3.5405405405405403], no none got out 
,0,1,2,3
0,Bernstein/Interview/cindy2.xml,22,[2.0], no no none of these 
""
,0,1,2,3
0,Bloom70/Peter/12.xml,28,[4.631578947368421], none in there 
1,Bloom70/Peter/18.xml,33,[5.660510114335972], none for jenny 
2,Bloom70/Peter/18.xml,33,[5.660510114335972], none for jenny 
""
""
,0,1,2,3
0,Braunwald/1-07-08.xml,19,[2.1758241758241756], none of the food can go 
1,Braunwald/2-03-12.xml,27,[2.962962962962963], none 
2,Braunwald/2-03-12.xml,27,[2.962962962962963], there s none left 
3,Braunwald/3-05-28b.xml,42,[4.186708860759493], and none of the other guys are as sick as ethan is 
4,Braunwald/3-07-00.xml,43,[4.332155477031802], none will come on where 
5,Braunwald/4-03-07.xml,51,[4.6722689075630255], seven years and zero days 
,0,1,2,3
0,Brent/c1/c1-0930.xml,[None],[0], none of that stuff 
1,Brent/c1/c1-0930.xml,[None],[0], none of those have tapioca in sweetie so we can have those 
2,Brent/c1/c1-1129.xml,12,[1.75], and this little piggie has none 
3,Brent/c1/c1-1129.xml,12,[1.75], but this little piggie had none 
4,Brent/d1/d1-1310.xml,13,[1.0], let me just make sure there s none in the refrigerator 
5,Brent/d1/d1-1417.xml,15,[1.1666666666666667], and this little piggy had none 
6,Brent/f1/f1-1318.xml,[None],[0], this little piggy had none 
7,Brent/f1/f1-1424.xml,15,[1.0], and this little piggy had none 
8,Brent/f2/f2-0827.xml,[None],[0], you can t have none of the soda 
9,Brent/f2/f2-0827.xml,[None],[0], can t have none o that 
10,Brent/i1/i1-0930.xml,10,[0], okay it s going to zero 
11,Brent/i1/i1-1005.xml,10,[1.0], this little piggy had none 
12,Brent/i1/i1-1207.xml,12,[1.0], here s zero 
13,Brent/i1/i1-1207.xml,12,[1.0], put zero in his spot 
14,Brent/i1/i1-1207.xml,12,[1.0], none 
15,Brent/i1/i1-1207.xml,12,[1.0], at two si  zero one whitney avenue 
16,Brent/i1/i1-1311.xml,13,[1.0], none 
17,Brent/i1/i1-1318.xml,14,[1.4], this little piggy had none 
18,Brent/i1/i1-1318.xml,14,[1.4], this little piggy had none 
19,Brent/i1/i1-1425.xml,15,[1.0526315789473684], this little piggy had none 
20,Brent/i1/i1-1425.xml,15,[1.0526315789473684], no they re none of them are ripe yet right now sweetheart 
21,Brent/j1/j1-0908.xml,9,[1.0], you didn t come over here for none of my sandwich did you 
22,Brent/j1/j1-1106.xml,11,[1.0],     none for me boy 
23,Brent/j1/j1-1318.xml,14,[1.0], none of these you can t fit any more 
24,Brent/j1/j1-1323.xml,14,[1.0], not gon play none for mama 
25,Brent/q1/q1-0928.xml,10,[1.0], thi little piggy had none 
26,Brent/q1/q1-0928.xml,10,[1.0], thi pokemon had none 
27,Brent/q1/q1-1405.xml,14,[1.0], and this little piggy had none 
28,Brent/q1/q1-1405.xml,14,[1.0], and this pokemon had none 
29,Brent/q1/q1-1405.xml,14,[1.0], yeah it had none 
30,Brent/s1/s1-0919.xml,10,[1.0], this little piggie had none 
31,Brent/s1/s1-1029.xml,11,[0], this piggie had none 
32,Brent/s1/s1-1126.xml,12,[1.0], and this little piggy had none 
33,Brent/s1/s1-1126.xml,12,[1.0], this little piggy had none 
34,Brent/s1/s1-1224.xml,13,[1.2], and this piggy had none 
35,Brent/s1/s1-1322.xml,14,[1.0], this piggy had roast beef and this piggy had none 
36,Brent/s2/s2-1124.xml,12,[1.0], this little piggy had none 
37,Brent/s2/s2-1124.xml,12,[1.0], but this little piggy had none 
38,Brent/s2/s2-1206.xml,[None],[0], but this little piggy had none 
39,Brent/s2/s2-1206.xml,[None],[0], this little piggy had none 
40,Brent/s2/s2-1309.xml,13,[0], and this little piggy had none 
41,Brent/s2/s2-1320.xml,14,[1.0], and this little piggy had none 
42,Brent/t1/t1-0830.xml,[None],[0], you don t want none 
43,Brent/v1/v1-0924.xml,10,[3.0], none o that play toy phone stuff for henry 
44,Brent/v1/v1-1506.xml,15,[1.0], no none for doggies 
45,Brent/v2/v2-0903.xml,[None],[0], you don t want none 
46,Brent/v2/v2-1000.xml,10,[1.0], you are not drinking none of it 
47,Brent/v2/v2-1112.xml,11,[1.0], no i don t want none 
48,Brent/w1/w1-1206.xml,[None],[0], this little piggy had none 
49,Brent/w1/w1-1206.xml,[None],[0], three zero nine     
50,Brent/w3/w3-0923.xml,10,[1.0], this little piggy had none 
51,Brent/w3/w3-0923.xml,10,[1.0], this little piggy had none 
52,Brent/w3/w3-0923.xml,10,[1.0], this little piggy had none 
53,Brent/w3/w3-1107.xml,11,[1.0], i ain t trying to bleach none of this orange 
54,Brent/w3/w3-1316.xml,14,[1.2105263157894737], zero 
55,Brent/w3/w3-1512.xml,15,[1.1794871794871795], you better not stand here and pee or none of that 
,0,1,2,3
0,Brown/Adam/adam17.xml,35,[3.941265060240964], zero 
1,Brown/Adam/adam19.xml,36,[4.303398058252427], five four three two one zero blast 
2,Brown/Adam/adam19.xml,36,[4.303398058252427], that s five four three two one zero 
3,Brown/Adam/adam22.xml,37,[4.928104575163399], to make sure there s none 
4,Brown/Adam/adam47.xml,52,[5.945668135095448], it says si  five four two zero seven 
5,Brown/Adam/adam47.xml,52,[5.945668135095448], seven five four two zero seven 
6,Brown/Adam/adam52.xml,57,[5.92991452991453], that s why there should be none of it left 
7,Brown/Eve/eve15.xml,25,[4.913127413127413], are there none out here 
8,Brown/Eve/eve15.xml,25,[4.913127413127413], the zero 
9,Brown/Sarah/sarah035.xml,35,[2.615], zero o 
10,Brown/Sarah/sarah049.xml,39,[3.876068376068376], none 
11,Brown/Sarah/sarah055.xml,40,[3.294478527607362], um looks like an zero to me 
12,Brown/Sarah/sarah055.xml,40,[3.294478527607362], oh you give me the zero now 
13,Brown/Sarah/sarah063.xml,42,[4.041666666666667], none upstairs downstair 
14,Brown/Sarah/sarah065.xml,43,[3.7431693989071038], none of them do 
15,Brown/Sarah/sarah086.xml,48,[4.613636363636363], none of the kids e cept for you robin jo anne 
16,Brown/Sarah/sarah104.xml,52,[4.288135593220339], is it an zero 
17,Brown/Sarah/sarah114.xml,55,[4.4124293785310735], i guess that is zero 
18,Brown/Sarah/sarah115.xml,55,[4.569377990430622], well now you have to go make a zero 
19,Brown/Sarah/sarah115.xml,55,[4.569377990430622], well no you have to go make a zero 
20,Brown/Sarah/sarah115.xml,55,[4.569377990430622], what do you want   or zero 
21,Brown/Sarah/sarah115.xml,55,[4.569377990430622], oh you re zero huh 
22,Brown/Sarah/sarah115.xml,55,[4.569377990430622], you re a zero 
23,Brown/Sarah/sarah115.xml,55,[4.569377990430622], you re supposed to put the zero here so you can win 
24,Brown/Sarah/sarah115.xml,55,[4.569377990430622], there see if you put the zero there you would win 
25,Brown/Sarah/sarah115.xml,55,[4.569377990430622], you re gonna put it in there the zero 
26,Brown/Sarah/sarah115.xml,55,[4.569377990430622], see you should o put that zero down there so i couldn t win 
27,Brown/Sarah/sarah119.xml,56,[7.425149700598802], none of those 
28,Brown/Sarah/sarah136.xml,61,[5.21505376344086], zero or an o 
29,Brown/Sarah/sarah136.xml,61,[5.21505376344086], no zero or an   
30,Brown/Sarah/sarah136.xml,61,[5.21505376344086], oh okay i ll take zero 
31,Brown/Sarah/sarah137.xml,61,[4.8901098901098905], you ll have a zero 
,0,1,2,3
0,Clark/shem10.xml,29,[4.9109947643979055], none of 
1,Clark/shem10.xml,29,[4.9109947643979055], there it goes to zero 
2,Clark/shem11.xml,29,[6.4068627450980395], yeah this stopped all the little numbers stopped at zero 
3,Clark/shem14.xml,30,[6.509025270758123], yeah it goes back to zero 
4,Clark/shem14.xml,30,[6.509025270758123], oh there it goes it going on to zero now see 
5,Clark/shem16.xml,31,[6.876923076923077], you re turning it to zero 
6,Clark/shem19.xml,32,[8.252225519287833], zero zero zero zero zero zero zero 
7,Clark/shem20.xml,32,[6.985294117647059], none of these are matching our cards shem 
8,Clark/shem29.xml,34,[5.61437908496732], no none at all 
9,Clark/shem34.xml,36,[8.942528735632184], when she got there the cupboard was bare and so the poor dog had none 
10,Clark/shem34.xml,36,[8.942528735632184], oh there s none so rare as compare with king cole and his fiddlers three 
11,Clark/shem34.xml,36,[8.942528735632184], this little piggy went to market this little piggy stayed home this little piggy had roast beef this little piggy had none and this little piggy cried wee i can t find my way home 
12,Clark/shem38.xml,37,[8.495145631067961], now we re gonna do a c for cindy and z for zero 
""
,0,1,2,3
0,Weist/Emily/emi09.xml,34,[6.578125], none 
1,Weist/Matt/mat23.xml,40,[3.938775510204082], five cents five o zero 
2,Weist/Matt/mat23.xml,40,[3.938775510204082], five o zero nine 
3,Weist/Matt/mat42.xml,50,[8.289473684210526], well you     that none of them were dangerous but they are fighting 
4,Weist/Matt/mat46.xml,53,[5.946666666666666], zero dollars 
5,Weist/Matt/mat46.xml,53,[5.946666666666666], zero dollars each ringing them up 
6,Weist/Matt/mat46.xml,53,[5.946666666666666], but each one only costs like zero cents right 
7,Weist/Matt/mat56.xml,60,[7.684210526315789], you may have one two or zero and i don t want to hear about any more it s starting to make me feel like you re not doing a good job 
8,Weist/Roman/rom42.xml,56,[5.9245283018867925], zero zero si  
,0,1,2,3
0,Warren/scott.xml,19,[1.5161290322580645], no you re not gonna let him have none 
,0,1,2,3
0,VanKleeck/jenny1.xml,37,[3.9411764705882355], none of those things 
""
,0,1,2,3
0,Valian/11b.xml,28,[3.8294392523364484], and none of em ll have any clothes on again in about a day 
1,Valian/17b.xml,30,[3.9816176470588234], can you tell investigator why none of your crayons have papers on em 
2,Valian/18a.xml,29,[4.727748691099476], none of them are birds 
3,Valian/18a.xml,29,[4.727748691099476], yeah it goes one to ten and no zero to nine zero to nine 
""
""
,0,1,2,3
0,Tardif/e06.xml,22,[1.6474358974358974], up now there s none left on the table 
,0,1,2,3
0,Suppes/nina35.xml,34,[5.009328358208955], none for me 
""
,0,1,2,3
0,Soderstrom/The/the15c.xml,10,[1.2285714285714286], none of that stuff 
,0,1,2,3
0,Snow/790906b.xml,37,[5.508196721311475], so there s none left to do in your pottie 
1,Snow/800518.xml,45,[3.634831460674157], zero 
,0,1,2,3
0,Sawyer/2-07-92.xml,[None],[0], five four three two one zero blastoff 
1,Sawyer/2-13-92.xml,[None],[0], none for me 
,0,1,2,3
0,Sachs/n68.xml,32,[3.527083333333333], this one had none 
1,Sachs/n68.xml,32,[3.527083333333333], what is none honey 
2,Sachs/n68.xml,32,[3.527083333333333], none is when you have no roast beef 
3,Sachs/n83.xml,40,[5.208029197080292], none in the bath 
4,Sachs/n83.xml,40,[5.208029197080292], none of those 
,0,1,2,3
0,Rollins/cm12.xml,12,[1.3333333333333333], and this little piggie had none 
1,Rollins/jp12.xml,12,[1.5], and this little piggie had none 
2,Rollins/tt12.xml,12,[0], ahhah this little piggie had none 
3,Rollins/tt12.xml,12,[0], this little piggie had none 
,0,1,2,3
0,Providence/Alex/ale03.xml,18,[2.245508982035928], and this little piggy had none 
1,Providence/Alex/ale03.xml,18,[2.245508982035928], this little piggy had none 
2,Providence/Alex/ale09.xml,21,[1.6873239436619718], zero 
3,Providence/Alex/ale10.xml,21,[1.9292035398230087], what s zero 
4,Providence/Alex/ale14.xml,23,[1.4817518248175183], thaza that is a zero 
5,Providence/Alex/ale14.xml,23,[1.4817518248175183], o oh zero 
6,Providence/Alex/ale14.xml,23,[1.4817518248175183], where s your zero 
7,Providence/Alex/ale14.xml,23,[1.4817518248175183], zero 
8,Providence/Alex/ale19.xml,26,[1.7857142857142858], zero 
9,Providence/Alex/ale27.xml,29,[2.5336700336700337], i there s none left honey 
10,Providence/Alex/ale35.xml,33,[2.6504065040650406], zero nine zero seven 
11,Providence/Alex/ale37.xml,34,[2.669826224328594], what s that supposed to be oh a zero 
12,Providence/Alex/ale37.xml,34,[2.669826224328594], zero 
13,Providence/Alex/ale49.xml,40,[3.1227436823104693], two zero zero three 
14,Providence/Ethan/eth04.xml,13,[1.5852272727272727], this little piggy had none 
15,Providence/Ethan/eth11.xml,16,[1.752895752895753], this little piggy had none 
16,Providence/Ethan/eth12.xml,16,[1.9375], this little piggy had none 
17,Providence/Ethan/eth16.xml,19,[2.4038155802861687], none for you 
18,Providence/Ethan/eth20.xml,20,[2.836244541484716], the show is at two o clock and it s twelve oh zero nine 
19,Providence/Ethan/eth25.xml,22,[3.8], and sleep in zero gravity when you re in a space ship you float in the air 
20,Providence/Ethan/eth41.xml,31,[3.8528428093645486], make none of them 
21,Providence/Ethan/eth41.xml,31,[3.8528428093645486], none of the windows was his window 
22,Providence/Ethan/eth41.xml,31,[3.8528428093645486], but none of the windows was his window 
23,Providence/Ethan/eth44.xml,32,[3.0706401766004414], there s the number eight there s the number two number two again there s a zero and there s the three 
24,Providence/Ethan/eth47.xml,34,[3.943469785575049], so he is floating up woo this is fun zero gravity is fun     
25,Providence/Ethan/eth47.xml,34,[3.943469785575049], the spaceship could float away too i guess in zero gravity 
26,Providence/Ethan/eth50.xml,35,[3.6016427104722792], none of his friends are around 
27,Providence/Lily/lil02.xml,14,[1.5076923076923077], and this little piggie had none 
28,Providence/Lily/lil04.xml,14,[1.4404761904761905], none of your 
29,Providence/Lily/lil06.xml,15,[1.9951690821256038], so i ll be upstairs and don will say what s the bread song like there is none make it up 
30,Providence/Lily/lil08.xml,16,[1.7860262008733625], this lil little piggie had roast beef this lil little piggie had none 
31,Providence/Lily/lil26.xml,24,[2.7415506958250497], zero very good honey 
32,Providence/Lily/lil27.xml,25,[3.1382978723404253], the museum director couldn t understand why none of them had caught sight of the artist 
33,Providence/Lily/lil30.xml,25,[4.441935483870968], lily have you noticed that none of these pirates have eyes 
34,Providence/Lily/lil35.xml,27,[4.360424028268551], but none of the insects they happened upon had any idea where her mother had gone 
35,Providence/Lily/lil35.xml,27,[4.360424028268551], but none of the insects they happened upon had any idea where her mother had gone 
36,Providence/Lily/lil36.xml,27,[4.625], okay it s two zero two 
37,Providence/Lily/lil37.xml,28,[5.458471760797342], zero 
38,Providence/Lily/lil40.xml,29,[5.298387096774194], none of the windows was his window though 
39,Providence/Lily/lil40.xml,29,[5.298387096774194], but none of the windows was his window 
40,Providence/Lily/lil42.xml,29,[5.092409240924092], and this little piggie had none 
41,Providence/Lily/lil47.xml,30,[4.5344827586206895], none i don t think 
42,Providence/Lily/lil49b.xml,31,[5.682568807339449], it s zero 
43,Providence/Lily/lil53.xml,32,[4.0989010989010985], but none of the insects they happened upon had any idea where her mother had gone 
44,Providence/Lily/lil57.xml,33,[3.7886904761904763], but it can be hundreds of degrees below zero during the long nights 
45,Providence/Lily/lil59.xml,34,[3.808080808080808], a trucker delivered none other than 
46,Providence/Lily/lil59.xml,34,[3.808080808080808], none of the buttons fell off 
47,Providence/Lily/lil63.xml,35,[4.349875930521092], oh none of the three of you like cauliflower huh 
48,Providence/Lily/lil66.xml,36,[4.015105740181269], none of the other men wear belts with their pants they button suspenders onto the waist lines of their pants and snap the suspenders over their shoulders 
49,Providence/Lily/lil71.xml,39,[4.6370808678500985], really none of us have any favorite foods that s so sad 
50,Providence/Lily/lil73.xml,41,[3.9522821576763487], none of us got hurt but the grasshoppers figured out what was going on 
51,Providence/Lily/lil74.xml,42,[4.022443890274314], i get it said jay jay he sees you every day he loves you a lot and without you none of the things he does would be possible 
52,Providence/Lily/lil78a.xml,46,[4.434250764525994], but we have none 
53,Providence/Lily/lil79.xml,47,[4.741935483870968], i mean none of the other kids know their states 
54,Providence/Lily/lil79.xml,47,[4.741935483870968], none at all huh 
55,Providence/Lily/lil79.xml,47,[4.741935483870968], none at all for me 
56,Providence/Naima/nai12.xml,16,[2.5553319919517103], none no raspberries 
57,Providence/Naima/nai18.xml,18,[2.9290322580645163], eeney meeney minie mo count the shoppers as they go some have baskets some have none count the shoppers one by one 
58,Providence/Naima/nai23.xml,20,[3.293296089385475], some have none 
59,Providence/Naima/nai26.xml,20,[3.3815028901734103], where is the zero is the zero lost 
60,Providence/Naima/nai26.xml,20,[3.3815028901734103], oh you have it in yer your hand a red zero 
61,Providence/Naima/nai39.xml,24,[4.101045296167247], you don t really have to borrow that i think that s a zero in front of mommy 
62,Providence/Naima/nai59b.xml,29,[5.514657980456026], like practically none 
63,Providence/Naima/nai77.xml,36,[6.898591549295775], well not zero nursing but you didn t wake up to nurse until four thirty 
64,Providence/Naima/nai79.xml,37,[4.844444444444444], zero     on the cape 
65,Providence/Naima/nai82.xml,43,[8.567901234567902], well i hope none of them got stuck in the oil spill 
66,Providence/Violet/vio18.xml,23,[2.532319391634981], none 
67,Providence/Violet/vio26.xml,27,[2.986062717770035], ten o zero nine 
68,Providence/Violet/vio26.xml,27,[2.986062717770035], ten o zero nine 
69,Providence/Violet/vio36.xml,31,[4.374647887323944], and sleep in zero gravity 
70,Providence/Violet/vio38.xml,32,[3.2103559870550162], i saw those animals none of them sheep well that seemed better than falling asleep i stretched and whispered boy this is fun 
71,Providence/Violet/vio38.xml,32,[3.2103559870550162], i saw those animals none of them sheep 
72,Providence/Violet/vio43.xml,35,[4.235772357723577], see a one and a zero makes ten 
73,Providence/Violet/vio52.xml,45,[4.944444444444445], for although spring should have arrived weeks before it hadn t none of the winter snows were gone yet 
74,Providence/William/wil05.xml,19,[1.3492537313432835], and this little piggy had none 
75,Providence/William/wil12.xml,22,[2.0822281167108754], but none of the five little ducks came back 
76,Providence/William/wil26.xml,30,[2.639784946236559], ten is a one and a zero 
77,Providence/William/wil26.xml,30,[2.639784946236559], but none of the five little ducks came back 
78,Providence/William/wil39.xml,37,[4.0130718954248366], none of that 
,0,1,2,3
