,fileid,age,mlu,utterance
0,Bliss/nortrevo.xml,51,[5.837037037037037], eight seven nine seven six five zero 
0,Braunwald/0diary/020109.xml,25,[4.5], six six one zero six 
0,Brown/Adam/adam17.xml,35,[3.941265060240964], zero 
1,Brown/Adam/adam17.xml,35,[3.941265060240964], dat that zero beat you 
2,Brown/Adam/adam17.xml,35,[3.941265060240964], dat that zero 
3,Brown/Adam/adam17.xml,35,[3.941265060240964], dat that no zero dat that blue 
4,Brown/Adam/adam19.xml,36,[4.303398058252427], zero 
5,Brown/Adam/adam19.xml,36,[4.303398058252427], one two three zero 
6,Brown/Adam/adam44.xml,51,[5.919860627177701], zero 
7,Brown/Adam/adam44.xml,51,[5.919860627177701], zero two 
8,Brown/Adam/adam47.xml,52,[5.945668135095448], six zero five a b 
9,Brown/Adam/adam52.xml,57,[5.92991452991453], one seven zero 
10,Brown/Sarah/sarah115.xml,55,[4.569377990430622], a zero 
11,Brown/Sarah/sarah115.xml,55,[4.569377990430622], zero 
12,Brown/Sarah/sarah115.xml,55,[4.569377990430622], a zero 
13,Brown/Sarah/sarah115.xml,55,[4.569377990430622], um zero 
14,Brown/Sarah/sarah115.xml,55,[4.569377990430622], how d you know i wanted a zero 
15,Brown/Sarah/sarah136.xml,61,[5.21505376344086], you want zero or um 
16,Brown/Sarah/sarah136.xml,61,[5.21505376344086], zero or a o 
17,Brown/Sarah/sarah136.xml,61,[5.21505376344086], zero or a   
18,Brown/Sarah/sarah136.xml,61,[5.21505376344086], y want zero or a   
19,Brown/Sarah/sarah136.xml,61,[5.21505376344086], that means you have to you want a zero 
20,Brown/Sarah/sarah136.xml,61,[5.21505376344086], i i want zero 
21,Brown/Sarah/sarah136.xml,61,[5.21505376344086], i want zero i said 
22,Brown/Sarah/sarah136.xml,61,[5.21505376344086], you re zero 
23,Brown/Sarah/sarah137.xml,61,[4.8901098901098905], a zero 
24,Brown/Sarah/sarah137.xml,61,[4.8901098901098905], a zero 
25,Brown/Sarah/sarah137.xml,61,[4.8901098901098905], i ll have a zero okay 
0,Clark/shem16.xml,31,[6.876923076923077], i turn it to zero 
1,Clark/shem16.xml,31,[6.876923076923077], turn it to zero wha dis this 
0,Cornell/lsno121.xml,60,[5.175438596491228], six and zero 
0,Gleason/Dinner/frank.xml,62,[4.34], three three three seven nine eight zero 
1,Gleason/Father/charlie.xml,36,[4.266666666666667], zero 
2,Gleason/Father/guy.xml,37,[3.1677018633540373], zero 
3,Gleason/Father/guy.xml,37,[3.1677018633540373], zero zero zero 
4,Gleason/Father/guy.xml,37,[3.1677018633540373], five zero 
5,Gleason/Father/guy.xml,37,[3.1677018633540373], zero 
6,Gleason/Father/helen.xml,59,[5.256756756756757], i got zero 
7,Gleason/Mother/eddie.xml,51,[4.32], um one and zero 
8,Gleason/Mother/eddie.xml,51,[4.32], a zero 
9,Gleason/Mother/guy.xml,37,[3.751152073732719], zero 
10,Gleason/Mother/helen.xml,59,[4.792642140468227], it s five and zero 
11,Gleason/Mother/theresa.xml,48,[5.557620817843866], zero 
0,HSLLD/HV2/MT/brnmt2.xml,59,[5.777777777777778], a zero 
1,HSLLD/HV2/MT/petmt2.xml,55,[5.282828282828283], i did seven zero six six five two one nine 
2,HSLLD/HV2/TP/emitp2.xml,51,[4.804878048780488], zero two five six six two one 
3,HSLLD/HV3/ET/teret3.xml,67,[4.617283950617284], zero 
4,HSLLD/HV3/ET/treet3.xml,67,[4.617283950617284], zero 
5,HSLLD/HV3/MT/kurmt3.xml,67,[4.425531914893617], at six zero 
6,HSLLD/HV5/MT/davmt5.xml,88,[4.932038834951456], baseball     one zero zero one zero zero zero 
7,HSLLD/HV5/MT/davmt5.xml,88,[4.932038834951456], one point zero zero zero because it s a     when you pitch it um     
8,HSLLD/HV7/MD/jammt7.xml,124,[7.396341463414634], well see on the tv it says two three o zero zero 
0,Hall/WhiteWork/mig.xml,57,[5.823569482288828], um zero 
1,Hall/WhiteWork/sut.xml,57,[6.240773286467487], so beach bab i beach bab i zero 
0,Kuczaj/abe101.xml,41,[7.850467289719626], zero 
1,Kuczaj/abe121.xml,44,[7.992424242424242], no if you grate it up i will two zero 
2,Kuczaj/abe121.xml,44,[7.992424242424242], is that two zero 
3,Kuczaj/abe121.xml,44,[7.992424242424242], i think it s two zero 
4,Kuczaj/abe121.xml,44,[7.992424242424242], it is two zero 
5,Kuczaj/abe201.xml,58,[7.829268292682927], mom everytime i laugh zero cough 
0,MacWhinney/61b1.xml,66,[11.893333333333333], zero 
1,MacWhinney/65a1.xml,69,[6.735632183908046], i can t get zero 
2,MacWhinney/65a1.xml,69,[6.735632183908046], eight two three two zero five one 
3,MacWhinney/65a1.xml,69,[6.735632183908046], eight two three two zero five one 
4,MacWhinney/65a1.xml,69,[6.735632183908046], eight two three two zero five one 
5,MacWhinney/65a1.xml,69,[6.735632183908046], eight two three two zero five one 
6,MacWhinney/89b2.xml,89,[4.057142857142857], fifteen take away zero is fifteen 
0,Providence/Alex/ale37.xml,34,[2.669826224328594], zero 
1,Providence/Lily/lil26.xml,24,[2.7415506958250497], zero 
2,Providence/Lily/lil37.xml,28,[5.458471760797342], zero 
3,Providence/Lily/lil49b.xml,31,[5.682568807339449], zero 
4,Providence/Naima/nai26.xml,20,[3.3815028901734103], where did the zero go 
5,Providence/Naima/nai77.xml,36,[6.898591549295775], zero nursing 
0,VanKleeck/rachel1.xml,44,[5.661764705882353], four five zero nine eight 
0,Weist/Matt/mat46.xml,53,[5.946666666666666], yup zero dollars 
1,Weist/Matt/mat46.xml,53,[5.946666666666666], zero dollars 
2,Weist/Roman/rom25.xml,43,[12.074324324324325], five o zero five     years 
3,Weist/Roman/rom42.xml,56,[5.9245283018867925], no but where is zero 
4,Weist/Roman/rom42.xml,56,[5.9245283018867925], zero zero 